18,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,PyC006,,PyC008,,PyC009,,PyC012,,PyC013,,PyC014,,PyC015,,PyC017,,PyC018,,PyC020,,PyC031,,PyC032,,PyC035,,PyC038,,PyC041,,PyC042,,PyC047,,PyC050,
US034,US,0,0,303,303,445,445,398,398,195,195,202,202,206,206,0,0,444,462,281,290,306,306,0,0,0,0,158,173,0,0,0,0,0,0,0,0
US035,US,0,0,308,308,0,0,0,0,191,210,0,0,0,0,0,0,473,473,297,297,306,306,418,418,365,373,158,173,0,0,0,0,364,364,0,0
US044,US,422,422,306,311,422,422,428,428,195,195,192,204,225,225,400,415,455,473,288,288,303,336,418,418,365,365,161,176,275,284,344,344,367,367,373,373
US047,US,417,417,303,311,429,442,394,416,193,203,195,195,206,206,420,440,442,467,283,288,308,342,418,418,365,376,161,176,272,272,341,341,364,364,370,370
US049,US,417,417,303,311,0,0,398,398,195,195,0,0,208,208,400,413,470,475,288,293,339,339,418,418,379,379,164,179,281,281,344,344,360,364,373,373
US050,US,409,409,303,311,426,440,394,416,193,203,195,195,206,206,420,440,442,464,281,288,300,339,415,415,363,376,158,173,272,272,339,339,367,367,373,373
US088,US,358,417,303,311,440,440,396,396,193,203,192,204,206,206,395,407,442,473,285,285,300,333,415,415,373,384,158,173,275,275,341,341,360,367,373,373
US089,US,417,417,301,308,445,445,398,398,191,200,192,192,206,206,395,407,462,470,288,288,306,330,415,415,373,373,158,173,275,275,341,341,360,364,373,373
US090,US,358,417,303,311,440,440,398,398,193,203,192,192,206,206,395,407,444,473,285,285,300,333,418,418,373,384,158,173,275,275,341,341,360,367,373,373
US091,US,417,417,303,311,438,438,396,396,193,203,192,192,206,206,395,407,442,470,285,285,300,336,415,415,376,387,158,173,278,278,341,341,360,367,373,373
US092,US,355,417,303,311,445,445,398,398,193,200,195,204,206,206,395,407,442,462,288,288,306,330,415,415,373,373,161,176,278,278,341,341,360,367,373,373
US093,US,355,417,303,311,449,449,401,401,195,205,195,195,210,210,395,407,464,470,293,293,306,333,418,418,376,376,164,179,284,284,341,341,360,364,373,373
US094,US,355,417,303,311,445,445,398,398,195,203,195,204,206,206,398,407,442,464,288,288,308,333,418,418,376,376,158,173,278,278,341,341,360,367,373,373
US095,US,417,417,0,0,0,0,0,0,205,214,204,204,201,201,409,409,457,473,293,304,336,350,421,421,370,381,161,176,278,278,335,344,375,375,377,377
US096,US,355,417,303,311,445,445,398,398,195,205,195,208,208,208,398,411,470,475,288,288,315,342,418,418,379,379,164,179,281,281,346,346,360,364,373,373
US097,US,342,407,301,308,445,445,398,398,195,203,192,204,208,208,395,407,467,473,288,288,312,339,418,418,379,379,158,173,278,278,341,341,360,364,373,373
US098,US,422,422,301,316,0,0,416,416,195,195,195,195,206,206,440,440,459,480,281,288,327,339,415,415,365,373,158,173,275,284,341,341,356,356,373,373
US099,US,409,409,301,316,429,438,416,430,195,195,195,195,203,203,400,400,442,459,281,288,306,339,415,415,365,373,158,173,272,272,341,341,364,364,373,373
US100,US,0,0,301,316,426,426,416,430,195,195,195,195,203,203,398,398,439,457,279,288,306,339,415,415,363,373,158,173,272,272,341,341,364,364,373,373
